# Esquema REAL del HIS del Hospital San Vicente de Paúl (Anserma).
#
# Volcado de ESEHSVP (catálogo vivo) el 2026-09-01 con el bloque 28 de
# sql/FASE0_DESCUBRIMIENTO_HIS.sql. Es la VERDAD contra la que se contrasta el
# mock local: scripts/verificar-esquema-mock.mjs falla si divergen.
#
# Por qué existe: `PACIENTES` parecía documentada y no lo estaba —solo teníamos
# su lista de NOT NULL— el mock se construyó con eso, y la diferencia escondió
# un defecto que habría roto producción (escribía el nombre completo en una
# columna de 20 caracteres). Cuando el mock es más permisivo que el HIS, no
# simplifica: miente.
#
# `CONVENIOS` se omite a propósito: son 85 columnas de facturación y el driver
# no la consulta nunca (los convenios se homologan por `mappingJson`). Si algún
# día se leyera, hay que volcarla aquí también.
#
# Para actualizarlo: correr el bloque 28 y pegar el resultado aquí, conservando
# esta cabecera.
tabla	columna	tipo	ancho	acepta_nulos
TIPO_DOCUMENTO	NU_CODIGO_TDOC	tinyint	NULL	NO
TIPO_DOCUMENTO	TX_NOMB_TDOC	varchar	3	NO
TIPO_DOCUMENTO	TX_DESC_TDOC	varchar	100	NO
TURNOS_MEDICOS	CD_MED_TUME	varchar	4	NO
TURNOS_MEDICOS	FE_FECH_TUME	datetime	NULL	NO
TURNOS_MEDICOS	FE_HOIN_TUME	datetime	NULL	NO
TURNOS_MEDICOS	FE_HOFI_TUME	datetime	NULL	NO
TURNOS_MEDICOS	ID_DISP_TUME	varchar	1	NO
TURNOS_MEDICOS	CD_CODI_CONS_TUME	varchar	8	NO
TURNOS_MEDICOS	NU_NUME_TUME	int	NULL	NO
TURNOS_MEDICOS	NU_TIPO_TUME	tinyint	NULL	SI
TURNOS_MEDICOS	CD_CODI_ESP_TUME	varchar	3	SI
PACIENTES	NU_DOCU_PAC	varchar	20	NO
PACIENTES	NU_HIST_PAC	varchar	20	NO
PACIENTES	NU_TIPD_PAC	tinyint	NULL	NO
PACIENTES	DE_PRAP_PAC	varchar	30	SI
PACIENTES	DE_SGAP_PAC	varchar	30	SI
PACIENTES	NO_NOMB_PAC	varchar	20	NO
PACIENTES	NO_SGNO_PAC	varchar	20	SI
PACIENTES	FE_NACI_PAC	datetime	NULL	NO
PACIENTES	CD_CODI_DPTO_PAC	varchar	2	SI
PACIENTES	CD_CODI_MUNI_PAC	varchar	3	SI
PACIENTES	DE_DIRE_PAC	varchar	80	SI
PACIENTES	DE_TELE_PAC	varchar	10	SI
PACIENTES	NU_SEXO_PAC	tinyint	NULL	NO
PACIENTES	NU_ESCI_PAC	tinyint	NULL	SI
PACIENTES	FE_HIST_PAC	datetime	NULL	NO
PACIENTES	NU_SITU_PAC	varchar	20	SI
PACIENTES	CD_CODI_CAM_PAC	varchar	5	SI
PACIENTES	NU_NUME_REG_PAC	int	NULL	SI
PACIENTES	NU_NIVE_PAC	tinyint	NULL	SI
PACIENTES	NU_ESTA_PAC	tinyint	NULL	SI
PACIENTES	CD_CODI_ZORE_PAC	varchar	1	SI
PACIENTES	CD_CODI_LUAT_PAC	varchar	2	SI
PACIENTES	DE_EMAIL_PAC	varchar	100	SI
PACIENTES	CD_CODI_OCUP_PAC	varchar	4	SI
PACIENTES	NU_CONS_HIST_PAC	int	NULL	SI
PACIENTES	NU_TIPO_PAC	tinyint	NULL	SI
PACIENTES	CD_CODI_RELI_PAC	varchar	2	SI
PACIENTES	CD_CODI_BAR_PAC	varchar	3	SI
PACIENTES	DE_NOMB_ACOM_PAC	varchar	50	SI
PACIENTES	DE_DIRE_ACOM_PAC	varchar	80	SI
PACIENTES	DE_TELE_ACOM_PAC	varchar	15	SI
PACIENTES	NU_LUGN_PAC	varchar	30	SI
PACIENTES	CD_CODI_PARE_PAC	varchar	2	SI
PACIENTES	TX_CODI_CLPA_PAC	varchar	2	SI
PACIENTES	TX_DOCU_ACOM_PAC	varchar	20	SI
PACIENTES	TX_PRNO_ACOM_PAC	varchar	20	SI
PACIENTES	TX_SGNO_ACOM_PAC	varchar	20	SI
PACIENTES	TX_PRAP_ACOM_PAC	varchar	30	SI
PACIENTES	TX_SGAP_ACOM_PAC	varchar	30	SI
PACIENTES	NU_TIPD_ACOM_PAC	tinyint	NULL	SI
PACIENTES	CD_CODPTO_ACOM_PAC	varchar	2	SI
PACIENTES	CD_COMUNI_ACOM_PAC	varchar	3	SI
PACIENTES	TX_CODI_NIED_PAC	varchar	2	SI
PACIENTES	NU_IPSPRIMARIA_PAC	varchar	12	SI
PACIENTES	CD_CODI_GPOB_PAC	int	NULL	SI
PACIENTES	CD_CODI_GETN_PAC	int	NULL	SI
PACIENTES	NU_DPTO_NAC_PAC	varchar	2	SI
PACIENTES	NU_MUNI_NAC_PAC	varchar	3	SI
PACIENTES	NU_CODI_GESPE_PAC	tinyint	NULL	SI
PACIENTES	TX_EMAIL_ACOM_PAC	varchar	100	SI
PACIENTES	NU_EXTR_PAC	bit	NULL	NO
PACIENTES	TX_COPO_PAC	varchar	10	SI
PACIENTES	NU_ID_IDENTG_PAC	int	NULL	SI
PACIENTES	TX_ID_DONA_PAC	varchar	2	SI
PACIENTES	FE_FECH_DONA_PAC	datetime	NULL	NO
PACIENTES	TX_ID_VOLU_ANTI_PAC	varchar	2	SI
PACIENTES	FE_FECH_VOLU_PAC	datetime	NULL	NO
PACIENTES	TX_COD_PRES_VOLU_PAC	varchar	30	SI
PACIENTES	TX_CODI_DISC_PAC	varchar	2	SI
PACIENTES	TX_PAIS_RES_PAC	varchar	100	SI
PACIENTES	CD_CODI_CETN_PAC	int	NULL	SI
PACIENTES	DE_DIRE_ALTE_PAC	varchar	80	SI
MEDICOS	CD_CODI_MED	varchar	4	NO
MEDICOS	NU_DOCU_MED	varchar	12	SI
MEDICOS	NO_NOMB_MED	varchar	103	SI
MEDICOS	NU_TIPD_MED	tinyint	NULL	SI
MEDICOS	DE_DIRE_MED	varchar	40	SI
MEDICOS	DE_TELE_MED	varchar	50	SI
MEDICOS	DE_CARG_MED	varchar	50	SI
MEDICOS	NU_MICO_MED	tinyint	NULL	SI
MEDICOS	NU_INDI_MED	int	NULL	SI
MEDICOS	NU_ESTA_MED	tinyint	NULL	SI
MEDICOS	NU_CONSE_ADSC_MED	int	NULL	SI
MEDICOS	NU_MAXC_MED	int	NULL	SI
MEDICOS	DE_REGI_MED	varchar	20	SI
MEDICOS	TX_QUIM_MED	int	NULL	SI
MEDICOS	TX_PRNOM_MED	varchar	20	SI
MEDICOS	TX_SGNOM_MED	varchar	30	SI
MEDICOS	TX_PRAPEL_MED	varchar	20	SI
MEDICOS	TX_SGAPEL_MED	varchar	30	SI
MEDICOS	NU_AUTMEDCTRL_MED	bit	NULL	NO
MEDICOS	TX_EMAIL_MED	varchar	100	SI
MEDICOS	CD_CODI_LUA_MED	varchar	2	SI
SERVICIOS	CD_CODI_SER	varchar	12	NO
SERVICIOS	NO_NOMB_SER	varchar	255	NO
SERVICIOS	CD_CODI_CUEN_SER	varchar	50	SI
SERVICIOS	NU_OPCI_SER	tinyint	NULL	SI
SERVICIOS	NU_NIVE_SER	tinyint	NULL	SI
SERVICIOS	NU_APLI_SER	tinyint	NULL	SI
SERVICIOS	NU_EDIN_SER	int	NULL	SI
SERVICIOS	NU_EDFI_SER	int	NULL	SI
SERVICIOS	NU_ESTA_SER	tinyint	NULL	SI
SERVICIOS	NU_TITA_SER	tinyint	NULL	SI
SERVICIOS	DE_OBSE_SER	varchar	250	SI
SERVICIOS	CD_CODI_COSE_SER	varchar	2	SI
SERVICIOS	CD_CODI_TISE_SER	varchar	1	SI
SERVICIOS	ID_CITA_SER	varchar	2	SI
SERVICIOS	NU_MICO_SER	tinyint	NULL	SI
SERVICIOS	ID_GCIT_SER	varchar	2	SI
SERVICIOS	NU_NUME_IND_SER	tinyint	NULL	SI
SERVICIOS	NU_VACU_SER	tinyint	NULL	SI
SERVICIOS	NU_CLAS_SER	tinyint	NULL	SI
SERVICIOS	TX_TICO_SER	varchar	3	SI
SERVICIOS	NU_INDOXI_SER	tinyint	NULL	SI
SERVICIOS	NU_IMALAB_SER	tinyint	NULL	SI
SERVICIOS	NU_ARCO_SER	tinyint	NULL	SI
SERVICIOS	CD_CODI_GRUF_SER	varchar	5	NO
SERVICIOS	TX_CODI_RRTT_SER	varchar	2	SI
SERVICIOS	NU_CMULT_SER	tinyint	NULL	SI
SERVICIOS	TX_NOPOS_SER	varchar	1	SI
SERVICIOS	NU_MOD_SER	tinyint	NULL	NO
SERVICIOS	TX_CODI_SERV_SER	varchar	10	SI
SERVICIOS	NU_UNED_SER	tinyint	NULL	NO
SERVICIOS	TX_TIPOOS_SER	varchar	3	SI
EPS	CD_NIT_EPS	varchar	11	NO
EPS	CD_INDI_EPS	varchar	1	SI
EPS	NO_DPTO_EPS	varchar	40	SI
EPS	NO_MUNI_EPS	varchar	40	SI
EPS	DE_DIRE_EPS	varchar	40	SI
EPS	DE_TELE_EPS	varchar	15	SI
EPS	DE_REPR_EPS	varchar	40	SI
EPS	NU_FATO_EPS	tinyint	NULL	SI
EPS	NU_FADE_EPS	tinyint	NULL	SI
EPS	NU_FAAT_EPS	tinyint	NULL	SI
EPS	PR_FADE_EPS	real	NULL	SI
EPS	NU_COEL_EPS	tinyint	NULL	SI
EPS	NU_COLA_EPS	tinyint	NULL	SI
EPS	CD_CODI_EPS	varchar	10	SI
EPS	NO_NOMB_EPS	varchar	255	SI
EPS	NU_ENVIMG_EPS	int	NULL	SI
EPS	NU_ACTIVO_EPS	bit	NULL	NO
EPS	TX_COPO_EPS	varchar	10	SI
EPS	NU_REQPOL_EPS	int	NULL	SI
EPS	NU_NITEXT_EPS	tinyint	NULL	NO
EPS	TX_NITALT_EPS	varchar	30	NO
EPS	TX_CODPAI_EPS	varchar	100	NO
R_PAC_EPS	NU_HIST_PAC_RPE	varchar	20	NO
R_PAC_EPS	CD_NIT_EPS_RPE	varchar	11	NO
R_PAC_EPS	CD_CODI_REG_RPE	varchar	2	NO
R_PAC_EPS	CD_CARN_RPE	varchar	18	SI
R_PAC_EPS	NU_AFIL_RPE	tinyint	NULL	NO
R_PAC_EPS	NU_ESTA_RPE	tinyint	NULL	NO
R_PAC_EPS	TX_ACTI_RPE	varchar	1	SI
R_PAC_EPS	CD_POL_RPE	varchar	22	SI
# --- Añadidas por el BLOQUE 31a (2026-09-02), no venían en el volcado del 28
# --- porque no estaban en su lista de tablas.
ESPECIALIDADES	CD_CODI_ESP	varchar	3	NO
ESPECIALIDADES	NO_NOMB_ESP	varchar	80	SI
ESPECIALIDADES	NU_AUOI_ESP	tinyint	NULL	SI
ESPECIALIDADES	NU_AUCI_ESP	tinyint	NULL	SI
ESPECIALIDADES	NU_NIVE_ESP	tinyint	NULL	SI
ESPECIALIDADES	TX_ACTI_ESP	varchar	1	NO
ESPECIALIDADES	NU_GEOOIN_ESP	tinyint	NULL	SI
ESPECIALIDADES	CD_CODIALTER_ESP	varchar	10	SI
ESPECIALIDADES	TX_QUIM_ESP	tinyint	NULL	SI
ESPECIALIDADES	TX_CODI_SERV_EPS	varchar	20	SI
ESPECIALIDADES	NU_GENRDA_ESP	int	NULL	SI
R_ESP_SER	CD_CODI_SER_RES	varchar	12	NO
R_ESP_SER	CD_CODI_ESP_RES	varchar	3	NO
R_MEDI_ESPE	CD_CODI_MED_RMP	varchar	4	NO
R_MEDI_ESPE	CD_CODI_ESP_RMP	varchar	3	NO
